Clave,Fecha, Almacenamiento(hmÂ³)
AGZCH,2020-02-20,78.08
ARCSO,2020-02-20,376.8
PMOSO,2020-02-20,35.38
ARLSO,2020-02-20,22.59
CHTSO,2020-02-20,12.39
IRASO,2020-02-20,0.38
IRASO,2020-02-21,0.37
CHTSO,2020-02-21,12.36
ARLSO,2020-02-21,22.79
PMOSO,2020-02-21,34.74
ARCSO,2020-02-21,374.36
AGZCH,2020-02-21,78.08
AOBSO,2020-02-21,1476.29
PECSO,2020-02-21,2210.17
LCDSO,2020-02-21,740.48
LCDSO,2020-02-22,739.71
PECSO,2020-02-22,2210.17
AOBSO,2020-02-22,1466.96
AGZCH,2020-02-22,78.08
ARCSO,2020-02-22,371.58
PMOSO,2020-02-22,34.1
ARLSO,2020-02-22,22.79
CHTSO,2020-02-22,12.29
IRASO,2020-02-22,0.31
IRASO,2020-02-23,0.3
CHTSO,2020-02-23,12.26
ARLSO,2020-02-23,22.79
PMOSO,2020-02-23,33.54
ARCSO,2020-02-23,368.8
AGZCH,2020-02-23,78.08
AOBSO,2020-02-23,1461.13
PECSO,2020-02-23,2210.17
LCDSO,2020-02-23,738.93
LCDSO,2020-02-24,736.21
PECSO,2020-02-24,2211.03
AOBSO,2020-02-24,1455.29
AGZCH,2020-02-24,78.14
ARCSO,2020-02-24,364.98
PMOSO,2020-02-24,32.83
ARLSO,2020-02-24,22.79
CHTSO,2020-02-24,12.2
IRASO,2020-02-24,0.29
IRASO,2020-02-25,0.29
CHTSO,2020-02-25,12.16
ARLSO,2020-02-25,22.89
PMOSO,2020-02-25,32.12
ARCSO,2020-02-25,361.15
AGZCH,2020-02-25,78.14
AOBSO,2020-02-25,1447.24
PECSO,2020-02-25,2210.17
LCDSO,2020-02-25,735.04
LCDSO,2020-02-26,733.87
PECSO,2020-02-26,2208.44
AOBSO,2020-02-26,1438.38
AGZCH,2020-02-26,78.14
ARCSO,2020-02-26,357.33
PMOSO,2020-02-26,31.4
ARLSO,2020-02-26,22.89
CHTSO,2020-02-26,12.13
IRASO,2020-02-26,0.28
IRASO,2020-02-27,0.28
CHTSO,2020-02-27,12.13
