Clave,Fecha, Almacenamiento(hmÂ³)
AGZCH,1980/03/02,44.66
AOBSO,1980/03/02,1131.6
PECSO,1980/03/02,1661.3
LCDSO,1980/03/02,286.00
IRASO,1980/03/02,14.52
CHTSO,1980/03/02,32.05
LCDSO,1980/03/03,285.60
PECSO,1980/03/03,1657.8
AOBSO,1980/03/03,1121.76
AGZCH,1980/03/03,44.62
ARCSO,1980/03/03,175.44
PMOSO,1980/03/03,-
ARLSO,1980/03/03,67.74
CHTSO,1980/03/03,32.10
IRASO,1980/03/03,14.42
ARLSO,1980/03/04,66.88
PMOSO,1980/03/04,-
ARCSO,1980/03/04,171.05
AGZCH,1980/03/04,44.57
AOBSO,1980/03/04,1112.74
PECSO,1980/03/04,1656.4
LCDSO,1980/03/04,285.60
IRASO,1980/03/04,14.30
CHTSO,1980/03/04,32.14
LCDSO,1980/03/05,286.00
PECSO,1980/03/05,1656.4
AOBSO,1980/03/05,1101.26
AGZCH,1980/03/05,44.52
ARCSO,1980/03/05,166.48
PMOSO,1980/03/05,-
ARLSO,1980/03/05,66.45
CHTSO,1980/03/05,32.14
IRASO,1980/03/05,14.13
ARLSO,1980/03/06,66.17
PMOSO,1980/03/06,-
ARCSO,1980/03/06,162.1
AGZCH,1980/03/06,44.52
AOBSO,1980/03/06,1090.6
PECSO,1980/03/06,1657.1
LCDSO,1980/03/06,286.20
IRASO,1980/03/06,13.86
CHTSO,1980/03/06,32.19
LCDSO,1980/03/07,286.40
PECSO,1980/03/07,1655.0
AOBSO,1980/03/07,1079.94
AGZCH,1980/03/07,44.48
ARCSO,1980/03/07,158.32
PMOSO,1980/03/07,-
ARLSO,1980/03/07,66.02
CHTSO,1980/03/07,32.14
IRASO,1980/03/07,13.64
ARLSO,1980/03/08,65.31
PMOSO,1980/03/08,-
ARCSO,1980/03/08,154.95
AGZCH,1980/03/08,44.43
AOBSO,1980/03/08,1068.46
PECSO,1980/03/08,1655.7
LCDSO,1980/03/08,286.00
IRASO,1980/03/08,13.55
CHTSO,1980/03/08,32.10
LCDSO,1980/03/09,286.00
PECSO,1980/03/09,1655.7
AOBSO,1980/03/09,1056.43
AGZCH,1980/03/09,44.43
ARCSO,1980/03/09,151.57
PMOSO,1980/03/09,-
ARLSO,1980/03/09,64.76
CHTSO,1980/03/09,32.10
IRASO,1980/03/09,13.45
ARLSO,1980/03/10,64.07
PMOSO,1980/03/10,-
ARCSO,1980/03/10,147.76
AGZCH,1980/03/10,44.43
AOBSO,1980/03/10,1045.12
PECSO,1980/03/10,1653.6
LCDSO,1980/03/10,285.80
IRASO,1980/03/10,13.35
CHTSO,1980/03/10,32.05
LCDSO,1980/03/11,285.80
PECSO,1980/03/11,1646.6
AOBSO,1980/03/11,1032.94
AGZCH,1980/03/11,44.39
ARCSO,1980/03/11,143.96
PMOSO,1980/03/11,-
ARLSO,1980/03/11,63.39
CHTSO,1980/03/11,32.01
IRASO,1980/03/11,13.23
ARLSO,1980/03/12,62.57
PMOSO,1980/03/12,-
ARCSO,1980/03/12,140.02
AGZCH,1980/03/12,44.34
AOBSO,1980/03/12,1023.37
PECSO,1980/03/12,1638.2
LCDSO,1980/03/12,284.80
IRASO,1980/03/12,13.14
CHTSO,1980/03/12,32.01
LCDSO,1980/03/13,279.60
PECSO,1980/03/13,1629.8
AOBSO,1980/03/13,1017.28
AGZCH,1980/03/13,44.20
ARCSO,1980/03/13,136.08
PMOSO,1980/03/13,-
ARLSO,1980/03/13,61.78
CHTSO,1980/03/13,32.01
IRASO,1980/03/13,13.01
ARLSO,1980/03/14,60.99
PMOSO,1980/03/14,-
ARCSO,1980/03/14,132.14
AGZCH,1980/03/14,44.11
AOBSO,1980/03/14,1012.06
PECSO,1980/03/14,1625.6
LCDSO,1980/03/14,274.40
IRASO,1980/03/14,12.85
CHTSO,1980/03/14,32.05
LCDSO,1980/03/15,269.60
PECSO,1980/03/15,1616.4
AOBSO,1980/03/15,1011.19
AGZCH,1980/03/15,44.01
ARCSO,1980/03/15,128.19
PMOSO,1980/03/15,-
ARLSO,1980/03/15,59.94
CHTSO,1980/03/15,31.96
IRASO,1980/03/15,12.68
ARLSO,1980/03/16,59.15
PMOSO,1980/03/16,-
ARCSO,1980/03/16,124.55
AGZCH,1980/03/16,43.92
AOBSO,1980/03/16,1011.19
PECSO,1980/03/16,1610.4
LCDSO,1980/03/16,265.00
IRASO,1980/03/16,12.48
CHTSO,1980/03/16,31.92
LCDSO,1980/03/17,261.60
PECSO,1980/03/17,1617.0
AOBSO,1980/03/17,1010.32
AGZCH,1980/03/17,43.73
ARCSO,1980/03/17,121.61
PMOSO,1980/03/17,-
ARLSO,1980/03/17,58.36
CHTSO,1980/03/17,31.87
IRASO,1980/03/17,12.34
ARLSO,1980/03/18,57.7
PMOSO,1980/03/18,-
ARCSO,1980/03/18,119.23
AGZCH,1980/03/18,43.59
AOBSO,1980/03/18,999.88
PECSO,1980/03/18,1614.6
LCDSO,1980/03/18,261.40
IRASO,1980/03/18,12.12
CHTSO,1980/03/18,31.83
LCDSO,1980/03/19,254.00
PECSO,1980/03/19,1607.4
AOBSO,1980/03/19,989.44
AGZCH,1980/03/19,43.46
ARCSO,1980/03/19,116.74
PMOSO,1980/03/19,-
ARLSO,1980/03/19,57.04
CHTSO,1980/03/19,31.74
IRASO,1980/03/19,11.88
ARLSO,1980/03/20,56.0
PMOSO,1980/03/20,-
ARCSO,1980/03/20,114.14
AGZCH,1980/03/20,43.36
AOBSO,1980/03/20,985.09
PECSO,1980/03/20,1602.0
LCDSO,1980/03/20,245.60
IRASO,1980/03/20,11.75
CHTSO,1980/03/20,31.78
LCDSO,1980/03/21,241.40
PECSO,1980/03/21,1599.6
AOBSO,1980/03/21,985.09
AGZCH,1980/03/21,43.13
ARCSO,1980/03/21,111.54
PMOSO,1980/03/21,-
ARLSO,1980/03/21,55.37
CHTSO,1980/03/21,31.74
IRASO,1980/03/21,11.58
ARLSO,1980/03/22,54.62
PMOSO,1980/03/22,-
ARCSO,1980/03/22,108.82
AGZCH,1980/03/22,42.99
AOBSO,1980/03/22,976.57
PECSO,1980/03/22,1597.2
LCDSO,1980/03/22,234.00
IRASO,1980/03/22,11.37
CHTSO,1980/03/22,31.69
LCDSO,1980/03/23,229.12
PECSO,1980/03/23,1594.8
AOBSO,1980/03/23,968.47
AGZCH,1980/03/23,42.85
ARCSO,1980/03/23,106.1
PMOSO,1980/03/23,-
ARLSO,1980/03/23,53.61
CHTSO,1980/03/23,31.65
IRASO,1980/03/23,11.09
ARLSO,1980/03/24,52.61
PMOSO,1980/03/24,-
ARCSO,1980/03/24,103.16
AGZCH,1980/03/24,42.71
AOBSO,1980/03/24,962.8
PECSO,1980/03/24,1594.8
LCDSO,1980/03/24,223.00
IRASO,1980/03/24,10.90
CHTSO,1980/03/24,31.56
LCDSO,1980/03/25,222.82
PECSO,1980/03/25,1593.6
AOBSO,1980/03/25,957.94
AGZCH,1980/03/25,42.57
ARCSO,1980/03/25,100.33
PMOSO,1980/03/25,-
ARLSO,1980/03/25,51.98
CHTSO,1980/03/25,31.47
IRASO,1980/03/25,10.66
ARLSO,1980/03/26,51.48
PMOSO,1980/03/26,-
ARCSO,1980/03/26,97.5
AGZCH,1980/03/26,42.43
AOBSO,1980/03/26,956.32
PECSO,1980/03/26,1590.0
LCDSO,1980/03/26,221.07
IRASO,1980/03/26,10.47
CHTSO,1980/03/26,31.38
LCDSO,1980/03/27,217.40
PECSO,1980/03/27,1586.4
AOBSO,1980/03/27,954.7
AGZCH,1980/03/27,42.29
ARCSO,1980/03/27,95.3
PMOSO,1980/03/27,-
ARLSO,1980/03/27,50.73
CHTSO,1980/03/27,31.29
IRASO,1980/03/27,10.26
ARLSO,1980/03/28,50.35
PMOSO,1980/03/28,-
ARCSO,1980/03/28,93.77
AGZCH,1980/03/28,42.11
AOBSO,1980/03/28,950.65
PECSO,1980/03/28,1584.0
LCDSO,1980/03/28,211.80
IRASO,1980/03/28, 9.98
CHTSO,1980/03/28,31.24
LCDSO,1980/03/29,206.72
PECSO,1980/03/29,1581.0
AOBSO,1980/03/29,947.41
AGZCH,1980/03/29,41.97
ARCSO,1980/03/29,92.24
PMOSO,1980/03/29,-
ARLSO,1980/03/29,50.23
CHTSO,1980/03/29,31.20
IRASO,1980/03/29, 9.83
ARLSO,1980/03/30,50.1
PMOSO,1980/03/30,-
ARCSO,1980/03/30,91.57
AGZCH,1980/03/30,41.79
AOBSO,1980/03/30,942.55
PECSO,1980/03/30,1578.0
LCDSO,1980/03/30,200.95
IRASO,1980/03/30, 9.64
CHTSO,1980/03/30,31.15
LCDSO,1980/03/31,195.00
PECSO,1980/03/31,1573.2
AOBSO,1980/03/31,941.74
AGZCH,1980/03/31,41.60
ARCSO,1980/03/31,91.57
PMOSO,1980/03/31,-
ARLSO,1980/03/31,50.1
CHTSO,1980/03/31,31.11
IRASO,1980/03/31, 9.81
ARLSO,1980/04/01,49.97
PMOSO,1980/04/01,-
ARCSO,1980/04/01,91.48
AGZCH,1980/04/01,41.37
AOBSO,1980/04/01,949.03
PECSO,1980/04/01,1570.8
LCDSO,1980/04/01,195.00
IRASO,1980/04/01, 9.29
CHTSO,1980/04/01,30.61
LCDSO,1980/04/02,188.00
